original_order,Image_name,prop_ungerminated,prop_chlorotic,,number_seeds,ungerminated_seeds,chlorotic_seedlings,anything_else_interesting,date
77,1-A-0108.jpg,0.105263158,0,,19,2,0,,12/12/2020 3:17:27
78,1-A-0110.jpg,0.033333333,0.166666667,,30,1,5,some short shoots could be chlorotic,12/12/2020 3:17:56
79,1-A-0111.jpg,0.1,0,,30,3,0,,12/12/2020 3:18:39
80,1-A-0112.jpg,0.2,0.133333333,,30,6,4,,12/12/2020 3:19:05
81,1-A-0113.jpg,0.066666667,0,,30,2,0,,12/12/2020 3:19:46
82,1-A-0114.jpg,0,0,,17,0,0,,12/12/2020 3:20:01
83,1-A-0115.jpg,0.068965517,0,,29,2,0,,12/12/2020 3:20:26
84,1-A-0116.jpg,0.038461538,0,,26,1,0,hard to see ungerm in top middle,12/12/2020 3:20:48
85,1-A-0117.jpg,0.166666667,0.133333333,,30,5,4,,12/12/2020 3:21:20
86,1-A-0118.jpg,0.47826087,0.130434783,,23,11,3,,12/12/2020 3:21:43
87,1-A-0119.jpg,0.419354839,0,,31,13,0,,12/12/2020 3:22:20
88,1-A-0120.jpg,0.333333333,0,,12,4,0,,12/12/2020 3:22:42
89,1-A-0121.jpg,0.473684211,0,,19,9,0,one gravitropism,12/12/2020 3:22:58
90,1-A-0122.jpg,0.2,0.133333333,,30,6,4,,12/12/2020 3:23:28
91,1-A-0123.jpg,0.222222222,0,,9,2,0,,12/12/2020 3:23:49
92,1-A-0125.jpg,0.034482759,0,,29,1,0,,12/12/2020 3:24:16
93,1-A-0126.jpg,0.2,0,,30,6,0,,12/12/2020 3:24:37
94,1-A-0127.jpg,0.166666667,0,,30,5,0,,12/12/2020 3:24:57
95,1-A-0128.jpg,0.1,0,,30,3,0,,12/12/2020 3:25:18
96,1-A-0129.jpg,0.3125,0,,16,5,0,,12/12/2020 3:25:33
97,1-A-0130.jpg,0.1,0,,30,3,0,,12/12/2020 3:25:53
98,1-A-0131.jpg,0.208333333,0,,24,5,0,,12/12/2020 3:26:13
99,1-A-0132.jpg,0,0,,6,0,0,,12/12/2020 3:26:31
100,1-A-0134.jpg,0.033333333,0.033333333,,30,1,1,"unsure on chlorosis, two spiraly",12/12/2020 3:26:57
101,1-A-0135.jpg,0,0,,30,0,0,,1/1/2021
102,1-A-0136.jpg,0.366666667,0,,30,11,0,,1/1/2021
103,1-A-0137.jpg,0.066666667,0,,30,2,0,,1/1/2021
104,1-A-0138.jpg,0.3,0,,30,9,0,,1/1/2021
105,1-A-0139.jpg,0.2,0,,30,6,0,,1/1/2021
106,1-A-0140.jpg,0.366666667,0,,30,11,0,inverted seedlings,1/1/2021
107,1-A-0141.jpg,0.428571429,0,,21,9,0,,1/1/2021
108,1-A-0142.jpg,0.533333333,0,,15,8,0,inverted seedlings,1/1/2021
109,1-A-0143.jpg,0.238095238,0,,21,5,0,,1/1/2021
110,1-A-0144.jpg,0.25,0,,4,1,0,,1/1/2021
111,1-A-0145.jpg,0.2,0,,30,6,0,,1/1/2021
112,1-A-0146.jpg,0.066666667,0,,30,2,0,inverted seedlings,1/1/2021
113,1-A-0147.jpg,0.366666667,0,,30,11,0,inverted seedlings,1/1/2021
114,1-A-0148.jpg,0.133333333,0,,30,4,0,inverted seedlings,1/1/2021
115,1-A-0149.jpg,0,0,,5,0,0,,1/1/2021
116,1-A-0150.jpg,0.133333333,0,,30,4,0,,1/1/2021
117,1-A-0151.jpg,0.133333333,0,,30,4,0,,1/1/2021
118,1-A-0152.jpg,0.4,0,,30,12,0,,1/1/2021
119,1-A-0153.jpg,0.266666667,0,,30,8,0,,1/1/2021
120,1-A-0154.jpg,0,0,,30,0,0,,1/1/2021
121,1-A-0155.jpg,0.066666667,0,,30,2,0,,1/1/2021
122,1-A-0156.jpg,0.066666667,0,,30,2,0,,1/1/2021
123,1-A-0157.jpg,0.266666667,0,,30,8,0,,1/1/2021
124,1-A-0158.jpg,0.266666667,0,,30,8,0,,1/1/2021
125,1-A-0159.jpg,0.2,0,,30,6,0,,1/1/2021
126,1-A-0160.jpg,0.428571429,0,,7,3,0,,1/1/2021
127,1-A-0161.jpg,0.266666667,0,,30,8,0,,1/1/2021
128,1-A-0162.jpg,0.033333333,0,,30,1,0,,1/1/2021
129,1-A-0163.jpg,0,0,,30,0,0,,1/1/2021
130,1-A-0164.jpg,0.066666667,0,,30,2,0,,1/1/2021
131,1-A-0165.jpg,0.2,0,,30,6,0,,1/1/2021
132,1-A-0167.jpg,0.233333333,0,,30,7,0,,1/1/2021
133,1-A-0168.jpg,0.033333333,0,,30,1,0,,1/1/2021
134,1-A-0169.jpg,0.1,0,,30,3,0,,1/1/2021
135,1-A-0170.jpg,0.3,0,,30,9,0,,1/1/2021
136,1-A-0171.jpg,0.133333333,0,,30,4,0,,1/1/2021
137,1-A-0172.jpg,0,0,,30,0,0,,1/1/2021
138,1-A-0173.jpg,0.2,0,,30,6,0,inverted seedlings,1/1/2021
139,1-A-0174.jpg,0,0,,9,0,0,,1/1/2021
140,1-A-0175.jpg,0.166666667,0,,12,2,0,,1/1/2021
141,1-A-0176.jpg,0,0,,30,0,0,,1/1/2021
142,1-A-0177.jpg,0.133333333,0,,30,4,0,,1/1/2021
143,1-A-0178.jpg,0.066666667,0,,30,2,0,,1/1/2021
144,1-A-0179.jpg,0.4,0,,30,12,0,,1/1/2021
145,1-A-0180.jpg,0.033333333,0,,30,1,0,,1/1/2021
146,1-A-0181.jpg,0.366666667,0,,30,11,0,,1/1/2021
147,1-A-0182.jpg,0,0,,30,0,0,,1/1/2021
148,1-A-0183.jpg,0.5,0,,30,15,0,,1/1/2021
149,1-A-0184.jpg,0.3,0.266666667,,30,9,8,white/pink,1/1/2021
150,1-A-0185.jpg,0.3,0,,30,9,0,,1/1/2021
151,1-A-0186.jpg,0.1,0.2,,30,3,6,white/pink,1/1/2021
152,1-A-0187.jpg,0.6,0,,30,18,0,,1/1/2021
153,1-A-0188.jpg,0.3,0,,30,9,0,,1/1/2021
154,1-A-0189.jpg,0.433333333,0,,30,13,0,inverted seedlings,1/1/2021
