"","inbred_name_vector","region","bp_count","bp_proportion","insertion_count","insertion_proportion","insertions_per_1kb"
"416","Ci91BGoodman-Buckler","UTR5",8484867,0.004,4,0.062,0.000471427542706326
"417","Ci91BGoodman-Buckler","Exon",40283128,0.019,1,0.016,2.4824288719585e-05
"418","Ci91BGoodman-Buckler","Intron",107881537,0.051,4,0.062,3.70777068183595e-05
"419","Ci91BGoodman-Buckler","UTR3",10917611,0.005,0,0,0
"420","Ci91BGoodman-Buckler","Intergenic",1895480830,0.889,43,0.672,2.26855367352884e-05
"421","Ci91BGoodman-Buckler","Not assigned",NA,NA,43,0.672,NA
"422","CM105","Promoter",72627588,0.034,15,0.16,0.000206533087674618
"423","CM105","UTR5",8484867,0.004,7,0.074,0.000824998199736071
"424","CM105","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"425","CM105","Intron",107881537,0.051,14,0.149,0.000129771973864258
"426","CM105","UTR3",10917611,0.005,0,0,0
"427","CM105","Intergenic",1895480830,0.889,57,0.606,3.00715254398009e-05
"428","CM105","Not assigned",NA,NA,29,0.309,NA
"429","CM37","Promoter",72627588,0.034,9,0.173,0.000123919852604771
"430","CM37","UTR5",8484867,0.004,2,0.038,0.000235713771353163
"431","CM37","Exon",40283128,0.019,0,0,0
"432","CM37","Intron",107881537,0.051,7,0.135,6.48859869321291e-05
"433","CM37","UTR3",10917611,0.005,0,0,0
"434","CM37","Intergenic",1895480830,0.889,34,0.654,1.79374011395304e-05
"435","CM37","Not assigned",NA,NA,23,0.442,NA
"436","CM7","Promoter",72627588,0.034,9,0.136,0.000123919852604771
"437","CM7","UTR5",8484867,0.004,4,0.061,0.000471427542706326
"438","CM7","Exon",40283128,0.019,1,0.015,2.4824288719585e-05
"439","CM7","Intron",107881537,0.051,3,0.045,2.78082801137696e-05
"440","CM7","UTR3",10917611,0.005,0,0,0
"441","CM7","Intergenic",1895480830,0.889,49,0.742,2.58509604657938e-05
"442","CM7","Not assigned",NA,NA,53,0.803,NA
"443","CML10","Promoter",72627588,0.034,47,0.199,0.000647137008047135
"444","CML10","UTR5",8484867,0.004,16,0.068,0.00188571017082531
"445","CML10","Exon",40283128,0.019,3,0.013,7.44728661587551e-05
"446","CML10","Intron",107881537,0.051,24,0.102,0.000222466240910157
"447","CML10","UTR3",10917611,0.005,0,0,0
"448","CML10","Intergenic",1895480830,0.889,146,0.619,7.70253107756305e-05
"449","CML10","Not assigned",NA,NA,151,0.64,NA
"450","CML103","Promoter",72627588,0.034,14,0.119,0.000192764215162976
"451","CML103","UTR5",8484867,0.004,7,0.059,0.000824998199736071
"452","CML103","Exon",40283128,0.019,3,0.025,7.44728661587551e-05
"453","CML103","Intron",107881537,0.051,6,0.051,5.56165602275392e-05
"454","CML103","UTR3",10917611,0.005,0,0,0
"455","CML103","Intergenic",1895480830,0.889,88,0.746,4.64262147140786e-05
"456","CML103","Not assigned",NA,NA,74,0.627,NA
"457","CML108","Promoter",72627588,0.034,29,0.309,0.000399297302837594
"458","CML108","UTR5",8484867,0.004,5,0.053,0.000589284428382908
"459","CML108","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"460","CML108","Intron",107881537,0.051,13,0.138,0.000120502547159668
"461","CML108","UTR3",10917611,0.005,0,0,0
"462","CML108","Intergenic",1895480830,0.889,46,0.489,2.42682486005411e-05
"463","CML108","Not assigned",NA,NA,51,0.543,NA
"464","CML11","Promoter",72627588,0.034,10,0.196,0.000137688725116412
"465","CML11","UTR5",8484867,0.004,5,0.098,0.000589284428382908
"466","CML11","Exon",40283128,0.019,1,0.02,2.4824288719585e-05
"467","CML11","Intron",107881537,0.051,2,0.039,1.85388534091797e-05
"468","CML11","UTR3",10917611,0.005,0,0,0
"469","CML11","Intergenic",1895480830,0.889,33,0.647,1.74098305177795e-05
"470","CML11","Not assigned",NA,NA,22,0.431,NA
"471","CML14","Promoter",72627588,0.034,2,0.022,2.75377450232823e-05
"472","CML14","UTR5",8484867,0.004,2,0.022,0.000235713771353163
"473","CML14","Exon",40283128,0.019,0,0,0
"474","CML14","Intron",107881537,0.051,6,0.066,5.56165602275392e-05
"475","CML14","UTR3",10917611,0.005,0,0,0
"476","CML14","Intergenic",1895480830,0.889,81,0.89,4.27332203618224e-05
"477","CML14","Not assigned",NA,NA,33,0.363,NA
"478","CML154Q","Promoter",72627588,0.034,6,0.115,8.2613235069847e-05
"479","CML154Q","UTR5",8484867,0.004,3,0.058,0.000353570657029745
"480","CML154Q","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"481","CML154Q","Intron",107881537,0.051,6,0.115,5.56165602275392e-05
"482","CML154Q","UTR3",10917611,0.005,0,0,0
"483","CML154Q","Intergenic",1895480830,0.889,36,0.692,1.89925423830322e-05
"484","CML154Q","Not assigned",NA,NA,26,0.5,NA
"485","CML157Q","Promoter",72627588,0.034,8,0.103,0.000110150980093129
"486","CML157Q","UTR5",8484867,0.004,4,0.051,0.000471427542706326
"487","CML157Q","Exon",40283128,0.019,0,0,0
"488","CML157Q","Intron",107881537,0.051,7,0.09,6.48859869321291e-05
"489","CML157Q","UTR3",10917611,0.005,0,0,0
"490","CML157Q","Intergenic",1895480830,0.889,59,0.756,3.11266666833027e-05
"491","CML157Q","Not assigned",NA,NA,36,0.462,NA
"492","CML158Q","Promoter",72627588,0.034,12,0.129,0.000165226470139694
"493","CML158Q","UTR5",8484867,0.004,2,0.022,0.000235713771353163
"494","CML158Q","Exon",40283128,0.019,3,0.032,7.44728661587551e-05
"495","CML158Q","Intron",107881537,0.051,6,0.065,5.56165602275392e-05
"496","CML158Q","UTR3",10917611,0.005,0,0,0
"497","CML158Q","Intergenic",1895480830,0.889,70,0.753,3.69299435225626e-05
"498","CML158Q","Not assigned",NA,NA,40,0.43,NA
"499","CML218","Promoter",72627588,0.034,4,0.077,5.50754900465647e-05
"500","CML218","UTR5",8484867,0.004,5,0.096,0.000589284428382908
"501","CML218","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"502","CML218","Intron",107881537,0.051,6,0.115,5.56165602275392e-05
"503","CML218","UTR3",10917611,0.005,2,0.038,0.000183190260213521
"504","CML218","Intergenic",1895480830,0.889,34,0.654,1.79374011395304e-05
"505","CML218","Not assigned",NA,NA,21,0.404,NA
"506","CML220","Promoter",72627588,0.034,12,0.14,0.000165226470139694
"507","CML220","UTR5",8484867,0.004,6,0.07,0.00070714131405949
"508","CML220","Exon",40283128,0.019,0,0,0
"509","CML220","Intron",107881537,0.051,13,0.151,0.000120502547159668
"510","CML220","UTR3",10917611,0.005,1,0.012,9.15951301067605e-05
"511","CML220","Intergenic",1895480830,0.889,54,0.628,2.84888135745483e-05
"512","CML220","Not assigned",NA,NA,36,0.419,NA
"513","CML228","Promoter",72627588,0.034,13,0.178,0.000178995342651335
"514","CML228","UTR5",8484867,0.004,4,0.055,0.000471427542706326
"515","CML228","Exon",40283128,0.019,1,0.014,2.4824288719585e-05
"516","CML228","Intron",107881537,0.051,9,0.123,8.34248403413088e-05
"517","CML228","UTR3",10917611,0.005,0,0,0
"518","CML228","Intergenic",1895480830,0.889,46,0.63,2.42682486005411e-05
"519","CML228","Not assigned",NA,NA,39,0.534,NA
"520","CML238","Promoter",72627588,0.034,12,0.218,0.000165226470139694
"521","CML238","UTR5",8484867,0.004,1,0.018,0.000117856885676582
"522","CML238","Exon",40283128,0.019,0,0,0
"523","CML238","Intron",107881537,0.051,7,0.127,6.48859869321291e-05
"524","CML238","UTR3",10917611,0.005,1,0.018,9.15951301067605e-05
"525","CML238","Intergenic",1895480830,0.889,34,0.618,1.79374011395304e-05
"526","CML238","Not assigned",NA,NA,20,0.364,NA
"527","CML247","Promoter",72627588,0.034,10,0.141,0.000137688725116412
"528","CML247","UTR5",8484867,0.004,0,0,0
"529","CML247","Exon",40283128,0.019,1,0.014,2.4824288719585e-05
"530","CML247","Intron",107881537,0.051,15,0.211,0.000139041400568848
"531","CML247","UTR3",10917611,0.005,0,0,0
"532","CML247","Intergenic",1895480830,0.889,45,0.634,2.37406779787902e-05
"533","CML247","Not assigned",NA,NA,24,0.338,NA
"534","CML254","Promoter",72627588,0.034,13,0.16,0.000178995342651335
"535","CML254","UTR5",8484867,0.004,6,0.074,0.00070714131405949
"536","CML254","Exon",40283128,0.019,0,0,0
"537","CML254","Intron",107881537,0.051,9,0.111,8.34248403413088e-05
"538","CML254","UTR3",10917611,0.005,0,0,0
"539","CML254","Intergenic",1895480830,0.889,53,0.654,2.79612429527974e-05
"540","CML254","Not assigned",NA,NA,36,0.444,NA
"541","CML258","Promoter",72627588,0.034,6,0.12,8.2613235069847e-05
"542","CML258","UTR5",8484867,0.004,6,0.12,0.00070714131405949
"543","CML258","Exon",40283128,0.019,0,0,0
"544","CML258","Intron",107881537,0.051,6,0.12,5.56165602275392e-05
"545","CML258","UTR3",10917611,0.005,0,0,0
"546","CML258","Intergenic",1895480830,0.889,32,0.64,1.68822598960286e-05
"547","CML258","Not assigned",NA,NA,25,0.5,NA
"548","CML261","Promoter",72627588,0.034,5,0.089,6.88443625582058e-05
"549","CML261","UTR5",8484867,0.004,2,0.036,0.000235713771353163
"550","CML261","Exon",40283128,0.019,1,0.018,2.4824288719585e-05
"551","CML261","Intron",107881537,0.051,6,0.107,5.56165602275392e-05
"552","CML261","UTR3",10917611,0.005,0,0,0
"553","CML261","Intergenic",1895480830,0.889,42,0.75,2.21579661135375e-05
"554","CML261","Not assigned",NA,NA,33,0.589,NA
"555","CML264","Promoter",72627588,0.034,12,0.16,0.000165226470139694
"556","CML264","UTR5",8484867,0.004,3,0.04,0.000353570657029745
"557","CML264","Exon",40283128,0.019,3,0.04,7.44728661587551e-05
"558","CML264","Intron",107881537,0.051,5,0.067,4.63471335229493e-05
"559","CML264","UTR3",10917611,0.005,0,0,0
"560","CML264","Intergenic",1895480830,0.889,52,0.693,2.74336723310465e-05
"561","CML264","Not assigned",NA,NA,29,0.387,NA
"562","CML277","Promoter",72627588,0.034,14,0.123,0.000192764215162976
"563","CML277","UTR5",8484867,0.004,4,0.035,0.000471427542706326
"564","CML277","Exon",40283128,0.019,1,0.009,2.4824288719585e-05
"565","CML277","Intron",107881537,0.051,15,0.132,0.000139041400568848
"566","CML277","UTR3",10917611,0.005,0,0,0
"567","CML277","Intergenic",1895480830,0.889,80,0.702,4.22056497400715e-05
"568","CML277","Not assigned",NA,NA,45,0.395,NA
"569","CML281","Promoter",72627588,0.034,15,0.146,0.000206533087674618
"570","CML281","UTR5",8484867,0.004,6,0.058,0.00070714131405949
"571","CML281","Exon",40283128,0.019,2,0.019,4.96485774391701e-05
"572","CML281","Intron",107881537,0.051,6,0.058,5.56165602275392e-05
"573","CML281","UTR3",10917611,0.005,0,0,0
"574","CML281","Intergenic",1895480830,0.889,74,0.718,3.90402260095661e-05
"575","CML281","Not assigned",NA,NA,47,0.456,NA
"576","CML287","Promoter",72627588,0.034,6,0.103,8.2613235069847e-05
"577","CML287","UTR5",8484867,0.004,3,0.052,0.000353570657029745
"578","CML287","Exon",40283128,0.019,3,0.052,7.44728661587551e-05
"579","CML287","Intron",107881537,0.051,7,0.121,6.48859869321291e-05
"580","CML287","UTR3",10917611,0.005,0,0,0
"581","CML287","Intergenic",1895480830,0.889,39,0.672,2.05752542482849e-05
"582","CML287","Not assigned",NA,NA,18,0.31,NA
"583","CML311","Promoter",72627588,0.034,14,0.152,0.000192764215162976
"584","CML311","UTR5",8484867,0.004,5,0.054,0.000589284428382908
"585","CML311","Exon",40283128,0.019,3,0.033,7.44728661587551e-05
"586","CML311","Intron",107881537,0.051,14,0.152,0.000129771973864258
"587","CML311","UTR3",10917611,0.005,0,0,0
"588","CML311","Intergenic",1895480830,0.889,56,0.609,2.954395481805e-05
"589","CML311","Not assigned",NA,NA,50,0.543,NA
"590","CML314","Promoter",72627588,0.034,10,0.115,0.000137688725116412
"591","CML314","UTR5",8484867,0.004,9,0.103,0.00106071197108923
"592","CML314","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"593","CML314","Intron",107881537,0.051,7,0.08,6.48859869321291e-05
"594","CML314","UTR3",10917611,0.005,0,0,0
"595","CML314","Intergenic",1895480830,0.889,60,0.69,3.16542373050536e-05
"596","CML314","Not assigned",NA,NA,61,0.701,NA
"597","CML321","Promoter",72627588,0.034,6,0.118,8.2613235069847e-05
"598","CML321","UTR5",8484867,0.004,1,0.02,0.000117856885676582
"599","CML321","Exon",40283128,0.019,6,0.118,0.00014894573231751
"600","CML321","Intron",107881537,0.051,4,0.078,3.70777068183595e-05
"601","CML321","UTR3",10917611,0.005,0,0,0
"602","CML321","Intergenic",1895480830,0.889,34,0.667,1.79374011395304e-05
"603","CML321","Not assigned",NA,NA,21,0.412,NA
"604","CML322","Promoter",72627588,0.034,10,0.167,0.000137688725116412
"605","CML322","UTR5",8484867,0.004,1,0.017,0.000117856885676582
"606","CML322","Exon",40283128,0.019,0,0,0
"607","CML322","Intron",107881537,0.051,5,0.083,4.63471335229493e-05
"608","CML322","UTR3",10917611,0.005,0,0,0
"609","CML322","Intergenic",1895480830,0.889,44,0.733,2.32131073570393e-05
"610","CML322","Not assigned",NA,NA,40,0.667,NA
"611","CML323","Promoter",72627588,0.034,8,0.111,0.000110150980093129
"612","CML323","UTR5",8484867,0.004,6,0.083,0.00070714131405949
"613","CML323","Exon",40283128,0.019,0,0,0
"614","CML323","Intron",107881537,0.051,10,0.139,9.26942670458987e-05
"615","CML323","UTR3",10917611,0.005,0,0,0
"616","CML323","Intergenic",1895480830,0.889,48,0.667,2.53233898440429e-05
"617","CML323","Not assigned",NA,NA,23,0.319,NA
"618","CML328","Promoter",72627588,0.034,12,0.167,0.000165226470139694
"619","CML328","UTR5",8484867,0.004,3,0.042,0.000353570657029745
"620","CML328","Exon",40283128,0.019,1,0.014,2.4824288719585e-05
"621","CML328","Intron",107881537,0.051,8,0.111,7.41554136367189e-05
"622","CML328","UTR3",10917611,0.005,1,0.014,9.15951301067605e-05
"623","CML328","Intergenic",1895480830,0.889,47,0.653,2.4795819222292e-05
"624","CML328","Not assigned",NA,NA,42,0.583,NA
"625","CML331","Promoter",72627588,0.034,13,0.11,0.000178995342651335
"626","CML331","UTR5",8484867,0.004,9,0.076,0.00106071197108923
"627","CML331","Exon",40283128,0.019,0,0,0
"628","CML331","Intron",107881537,0.051,6,0.051,5.56165602275392e-05
"629","CML331","UTR3",10917611,0.005,0,0,0
"630","CML331","Intergenic",1895480830,0.889,90,0.763,4.74813559575804e-05
"631","CML331","Not assigned",NA,NA,63,0.534,NA
"632","CML332","Promoter",72627588,0.034,7,0.125,9.63821075814882e-05
"633","CML332","UTR5",8484867,0.004,7,0.125,0.000824998199736071
"634","CML332","Exon",40283128,0.019,0,0,0
"635","CML332","Intron",107881537,0.051,5,0.089,4.63471335229493e-05
"636","CML332","UTR3",10917611,0.005,0,0,0
"637","CML332","Intergenic",1895480830,0.889,37,0.661,1.95201130047831e-05
"638","CML332","Not assigned",NA,NA,11,0.196,NA
"639","CML333","Promoter",72627588,0.034,12,0.185,0.000165226470139694
"640","CML333","UTR5",8484867,0.004,3,0.046,0.000353570657029745
"641","CML333","Exon",40283128,0.019,2,0.031,4.96485774391701e-05
"642","CML333","Intron",107881537,0.051,8,0.123,7.41554136367189e-05
"643","CML333","UTR3",10917611,0.005,0,0,0
"644","CML333","Intergenic",1895480830,0.889,40,0.615,2.11028248700357e-05
"645","CML333","Not assigned",NA,NA,44,0.677,NA
"646","CML341","Promoter",72627588,0.034,0,0,0
"647","CML341","UTR5",8484867,0.004,2,0.083,0.000235713771353163
"648","CML341","Exon",40283128,0.019,1,0.042,2.4824288719585e-05
"649","CML341","Intron",107881537,0.051,8,0.333,7.41554136367189e-05
"650","CML341","UTR3",10917611,0.005,0,0,0
"651","CML341","Intergenic",1895480830,0.889,13,0.542,6.85841808276162e-06
"652","CML341","Not assigned",NA,NA,10,0.417,NA
"653","CML38","Promoter",72627588,0.034,7,0.127,9.63821075814882e-05
"654","CML38","UTR5",8484867,0.004,2,0.036,0.000235713771353163
"655","CML38","Exon",40283128,0.019,2,0.036,4.96485774391701e-05
"656","CML38","Intron",107881537,0.051,2,0.036,1.85388534091797e-05
"657","CML38","UTR3",10917611,0.005,0,0,0
"658","CML38","Intergenic",1895480830,0.889,42,0.764,2.21579661135375e-05
"659","CML38","Not assigned",NA,NA,52,0.945,NA
"660","CML45","Promoter",72627588,0.034,12,0.162,0.000165226470139694
"661","CML45","UTR5",8484867,0.004,3,0.041,0.000353570657029745
"662","CML45","Exon",40283128,0.019,0,0,0
"663","CML45","Intron",107881537,0.051,10,0.135,9.26942670458987e-05
"664","CML45","UTR3",10917611,0.005,0,0,0
"665","CML45","Intergenic",1895480830,0.889,49,0.662,2.58509604657938e-05
"666","CML45","Not assigned",NA,NA,42,0.568,NA
"667","CML5","Promoter",72627588,0.034,24,0.145,0.000330452940279388
"668","CML5","UTR5",8484867,0.004,9,0.054,0.00106071197108923
"669","CML5","Exon",40283128,0.019,1,0.006,2.4824288719585e-05
"670","CML5","Intron",107881537,0.051,8,0.048,7.41554136367189e-05
"671","CML5","UTR3",10917611,0.005,0,0,0
"672","CML5","Intergenic",1895480830,0.889,124,0.747,6.54187570971108e-05
"673","CML5","Not assigned",NA,NA,89,0.536,NA
"674","CML52","Promoter",72627588,0.034,9,0.096,0.000123919852604771
"675","CML52","UTR5",8484867,0.004,9,0.096,0.00106071197108923
"676","CML52","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"677","CML52","Intron",107881537,0.051,5,0.053,4.63471335229493e-05
"678","CML52","UTR3",10917611,0.005,0,0,0
"679","CML52","Intergenic",1895480830,0.889,70,0.745,3.69299435225626e-05
"680","CML52","Not assigned",NA,NA,50,0.532,NA
"681","CML61","Promoter",72627588,0.034,10,0.149,0.000137688725116412
"682","CML61","UTR5",8484867,0.004,2,0.03,0.000235713771353163
"683","CML61","Exon",40283128,0.019,2,0.03,4.96485774391701e-05
"684","CML61","Intron",107881537,0.051,7,0.104,6.48859869321291e-05
"685","CML61","UTR3",10917611,0.005,1,0.015,9.15951301067605e-05
"686","CML61","Intergenic",1895480830,0.889,45,0.672,2.37406779787902e-05
"687","CML61","Not assigned",NA,NA,40,0.597,NA
"688","CML69","Promoter",72627588,0.034,18,0.186,0.000247839705209541
"689","CML69","UTR5",8484867,0.004,13,0.134,0.00153213951379556
"690","CML69","Exon",40283128,0.019,1,0.01,2.4824288719585e-05
"691","CML69","Intron",107881537,0.051,4,0.041,3.70777068183595e-05
"692","CML69","UTR3",10917611,0.005,0,0,0
"693","CML69","Intergenic",1895480830,0.889,61,0.629,3.21818079268045e-05
"694","CML69","Not assigned",NA,NA,36,0.371,NA
"695","CML77","Promoter",72627588,0.034,11,0.109,0.000151457597628053
"696","CML77","UTR5",8484867,0.004,10,0.099,0.00117856885676582
"697","CML77","Exon",40283128,0.019,2,0.02,4.96485774391701e-05
"698","CML77","Intron",107881537,0.051,11,0.109,0.000101963693750489
"699","CML77","UTR3",10917611,0.005,0,0,0
"700","CML77","Intergenic",1895480830,0.889,67,0.663,3.53472316573099e-05
"701","CML77","Not assigned",NA,NA,44,0.436,NA
"702","CML91","Promoter",72627588,0.034,16,0.174,0.000220301960186259
"703","CML91","UTR5",8484867,0.004,4,0.043,0.000471427542706326
"704","CML91","Exon",40283128,0.019,4,0.043,9.92971548783401e-05
"705","CML91","Intron",107881537,0.051,7,0.076,6.48859869321291e-05
"706","CML91","UTR3",10917611,0.005,0,0,0
"707","CML91","Intergenic",1895480830,0.889,61,0.663,3.21818079268045e-05
"708","CML91","Not assigned",NA,NA,43,0.467,NA
"709","CML92","Promoter",72627588,0.034,13,0.228,0.000178995342651335
"710","CML92","UTR5",8484867,0.004,1,0.018,0.000117856885676582
"711","CML92","Exon",40283128,0.019,1,0.018,2.4824288719585e-05
"712","CML92","Intron",107881537,0.051,11,0.193,0.000101963693750489
"713","CML92","UTR3",10917611,0.005,0,0,0
"714","CML92","Intergenic",1895480830,0.889,31,0.544,1.63546892742777e-05
"715","CML92","Not assigned",NA,NA,19,0.333,NA
"716","CMV3","Promoter",72627588,0.034,8,0.154,0.000110150980093129
"717","CMV3","UTR5",8484867,0.004,7,0.135,0.000824998199736071
"718","CMV3","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"719","CMV3","Intron",107881537,0.051,3,0.058,2.78082801137696e-05
"720","CMV3","UTR3",10917611,0.005,0,0,0
"721","CMV3","Intergenic",1895480830,0.889,33,0.635,1.74098305177795e-05
"722","CMV3","Not assigned",NA,NA,19,0.365,NA
"723","CO106","Promoter",72627588,0.034,16,0.178,0.000220301960186259
"724","CO106","UTR5",8484867,0.004,6,0.067,0.00070714131405949
"725","CO106","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"726","CO106","Intron",107881537,0.051,5,0.056,4.63471335229493e-05
"727","CO106","UTR3",10917611,0.005,0,0,0
"728","CO106","Intergenic",1895480830,0.889,62,0.689,3.27093785485554e-05
"729","CO106","Not assigned",NA,NA,35,0.389,NA
"730","CO125","Promoter",72627588,0.034,7,0.121,9.63821075814882e-05
"731","CO125","UTR5",8484867,0.004,1,0.017,0.000117856885676582
"732","CO125","Exon",40283128,0.019,0,0,0
"733","CO125","Intron",107881537,0.051,8,0.138,7.41554136367189e-05
"734","CO125","UTR3",10917611,0.005,0,0,0
"735","CO125","Intergenic",1895480830,0.889,42,0.724,2.21579661135375e-05
"736","CO125","Not assigned",NA,NA,24,0.414,NA
"737","CO255","Promoter",72627588,0.034,16,0.114,0.000220301960186259
"738","CO255","UTR5",8484867,0.004,8,0.057,0.000942855085412653
"739","CO255","Exon",40283128,0.019,3,0.021,7.44728661587551e-05
"740","CO255","Intron",107881537,0.051,10,0.071,9.26942670458987e-05
"741","CO255","UTR3",10917611,0.005,0,0,0
"742","CO255","Intergenic",1895480830,0.889,103,0.736,5.43397740403421e-05
"743","CO255","Not assigned",NA,NA,88,0.629,NA
"744","D940Y","Promoter",72627588,0.034,16,0.195,0.000220301960186259
"745","D940Y","UTR5",8484867,0.004,4,0.049,0.000471427542706326
"746","D940Y","Exon",40283128,0.019,0,0,0
"747","D940Y","Intron",107881537,0.051,9,0.11,8.34248403413088e-05
"748","D940Y","UTR3",10917611,0.005,0,0,0
"749","D940Y","Intergenic",1895480830,0.889,53,0.646,2.79612429527974e-05
"750","D940Y","Not assigned",NA,NA,53,0.646,NA
"751","DE-2","Promoter",72627588,0.034,16,0.205,0.000220301960186259
"752","DE-2","UTR5",8484867,0.004,3,0.038,0.000353570657029745
"753","DE-2","Exon",40283128,0.019,3,0.038,7.44728661587551e-05
"754","DE-2","Intron",107881537,0.051,4,0.051,3.70777068183595e-05
"755","DE-2","UTR3",10917611,0.005,0,0,0
"756","DE-2","Intergenic",1895480830,0.889,52,0.667,2.74336723310465e-05
"757","DE-2","Not assigned",NA,NA,44,0.564,NA
"758","DE1","Promoter",72627588,0.034,14,0.233,0.000192764215162976
"759","DE1","UTR5",8484867,0.004,4,0.067,0.000471427542706326
"760","DE1","Exon",40283128,0.019,3,0.05,7.44728661587551e-05
"761","DE1","Intron",107881537,0.051,3,0.05,2.78082801137696e-05
"762","DE1","UTR3",10917611,0.005,0,0,0
"763","DE1","Intergenic",1895480830,0.889,36,0.6,1.89925423830322e-05
"764","DE1","Not assigned",NA,NA,48,0.8,NA
"765","DE811","Promoter",72627588,0.034,4,0.068,5.50754900465647e-05
"766","DE811","UTR5",8484867,0.004,4,0.068,0.000471427542706326
"767","DE811","Exon",40283128,0.019,1,0.017,2.4824288719585e-05
"768","DE811","Intron",107881537,0.051,3,0.051,2.78082801137696e-05
"769","DE811","UTR3",10917611,0.005,0,0,0
"770","DE811","Intergenic",1895480830,0.889,47,0.797,2.4795819222292e-05
"771","DE811","Not assigned",NA,NA,27,0.458,NA
"772","E2558W","Promoter",72627588,0.034,9,0.281,0.000123919852604771
"773","E2558W","UTR5",8484867,0.004,2,0.062,0.000235713771353163
"774","E2558W","Exon",40283128,0.019,0,0,0
"775","E2558W","Intron",107881537,0.051,2,0.062,1.85388534091797e-05
"776","E2558W","UTR3",10917611,0.005,0,0,0
"777","E2558W","Intergenic",1895480830,0.889,19,0.594,1.0023841813267e-05
"778","E2558W","Not assigned",NA,NA,25,0.781,NA
"779","EP1","Promoter",72627588,0.034,4,0.071,5.50754900465647e-05
"780","EP1","UTR5",8484867,0.004,5,0.089,0.000589284428382908
"781","EP1","Exon",40283128,0.019,1,0.018,2.4824288719585e-05
"782","EP1","Intron",107881537,0.051,2,0.036,1.85388534091797e-05
"783","EP1","UTR3",10917611,0.005,0,0,0
"784","EP1","Intergenic",1895480830,0.889,44,0.786,2.32131073570393e-05
"785","EP1","Not assigned",NA,NA,19,0.339,NA
"786","F2834T","Promoter",72627588,0.034,13,0.2,0.000178995342651335
"787","F2834T","UTR5",8484867,0.004,2,0.031,0.000235713771353163
"788","F2834T","Exon",40283128,0.019,1,0.015,2.4824288719585e-05
"789","F2834T","Intron",107881537,0.051,6,0.092,5.56165602275392e-05
"790","F2834T","UTR3",10917611,0.005,0,0,0
"791","F2834T","Intergenic",1895480830,0.889,43,0.662,2.26855367352884e-05
"792","F2834T","Not assigned",NA,NA,39,0.6,NA
"793","F6","Promoter",72627588,0.034,18,0.196,0.000247839705209541
"794","F6","UTR5",8484867,0.004,7,0.076,0.000824998199736071
"795","F6","Exon",40283128,0.019,0,0,0
"796","F6","Intron",107881537,0.051,10,0.109,9.26942670458987e-05
"797","F6","UTR3",10917611,0.005,0,0,0
"798","F6","Intergenic",1895480830,0.889,57,0.62,3.00715254398009e-05
"799","F6","Not assigned",NA,NA,54,0.587,NA
"800","F7","Promoter",72627588,0.034,4,0.056,5.50754900465647e-05
"801","F7","UTR5",8484867,0.004,3,0.042,0.000353570657029745
"802","F7","Exon",40283128,0.019,2,0.028,4.96485774391701e-05
"803","F7","Intron",107881537,0.051,1,0.014,9.26942670458987e-06
"804","F7","UTR3",10917611,0.005,0,0,0
"805","F7","Intergenic",1895480830,0.889,61,0.859,3.21818079268045e-05
"806","F7","Not assigned",NA,NA,37,0.521,NA
"807","GA209","Promoter",72627588,0.034,7,0.101,9.63821075814882e-05
"808","GA209","UTR5",8484867,0.004,1,0.014,0.000117856885676582
"809","GA209","Exon",40283128,0.019,1,0.014,2.4824288719585e-05
"810","GA209","Intron",107881537,0.051,9,0.13,8.34248403413088e-05
"811","GA209","UTR3",10917611,0.005,0,0,0
"812","GA209","Intergenic",1895480830,0.889,51,0.739,2.69061017092956e-05
"813","GA209","Not assigned",NA,NA,47,0.681,NA
"814","GT112","Promoter",72627588,0.034,2,0.034,2.75377450232823e-05
"815","GT112","UTR5",8484867,0.004,2,0.034,0.000235713771353163
"816","GT112","Exon",40283128,0.019,1,0.017,2.4824288719585e-05
"817","GT112","Intron",107881537,0.051,3,0.052,2.78082801137696e-05
"818","GT112","UTR3",10917611,0.005,0,0,0
"819","GT112","Intergenic",1895480830,0.889,50,0.862,2.63785310875447e-05
"820","GT112","Not assigned",NA,NA,20,0.345,NA
"821","H105W","Promoter",72627588,0.034,16,0.168,0.000220301960186259
"822","H105W","UTR5",8484867,0.004,1,0.011,0.000117856885676582
"823","H105W","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"824","H105W","Intron",107881537,0.051,9,0.095,8.34248403413088e-05
"825","H105W","UTR3",10917611,0.005,0,0,0
"826","H105W","Intergenic",1895480830,0.889,68,0.716,3.58748022790608e-05
"827","H105W","Not assigned",NA,NA,30,0.316,NA
"828","H49","Promoter",72627588,0.034,10,0.12,0.000137688725116412
"829","H49","UTR5",8484867,0.004,2,0.024,0.000235713771353163
"830","H49","Exon",40283128,0.019,0,0,0
