"","inbred_name_vector","region","bp_count","bp_proportion","insertion_count","insertion_proportion","insertions_per_1kb"
"82","A619","Intron",107881537,0.051,9,0.079,8.34248403413088e-05
"83","A619","UTR3",10917611,0.005,0,0,0
"84","A619","Intergenic",1895480830,0.889,82,0.719,4.32607909835733e-05
"85","A619","Not assigned",NA,NA,61,0.535,NA
"86","A632","Promoter",72627588,0.034,10,0.156,0.000137688725116412
"87","A632","UTR5",8484867,0.004,3,0.047,0.000353570657029745
"88","A632","Exon",40283128,0.019,0,0,0
"89","A632","Intron",107881537,0.051,5,0.078,4.63471335229493e-05
"90","A632","UTR3",10917611,0.005,0,0,0
"91","A632","Intergenic",1895480830,0.889,46,0.719,2.42682486005411e-05
"92","A632","Not assigned",NA,NA,35,0.547,NA
"93","A634","Promoter",72627588,0.034,8,0.099,0.000110150980093129
"94","A634","UTR5",8484867,0.004,2,0.025,0.000235713771353163
"95","A634","Exon",40283128,0.019,2,0.025,4.96485774391701e-05
"96","A634","Intron",107881537,0.051,9,0.111,8.34248403413088e-05
"97","A634","UTR3",10917611,0.005,0,0,0
"98","A634","Intergenic",1895480830,0.889,60,0.741,3.16542373050536e-05
"99","A634","Not assigned",NA,NA,42,0.519,NA
"100","A635","Promoter",72627588,0.034,10,0.123,0.000137688725116412
"101","A635","UTR5",8484867,0.004,2,0.025,0.000235713771353163
"102","A635","Exon",40283128,0.019,4,0.049,9.92971548783401e-05
"103","A635","Intron",107881537,0.051,8,0.099,7.41554136367189e-05
"104","A635","UTR3",10917611,0.005,0,0,0
"105","A635","Intergenic",1895480830,0.889,57,0.704,3.00715254398009e-05
"106","A635","Not assigned",NA,NA,42,0.519,NA
"107","A641","Promoter",72627588,0.034,24,0.211,0.000330452940279388
"108","A641","UTR5",8484867,0.004,8,0.07,0.000942855085412653
"109","A641","Exon",40283128,0.019,2,0.018,4.96485774391701e-05
"110","A641","Intron",107881537,0.051,7,0.061,6.48859869321291e-05
"111","A641","UTR3",10917611,0.005,0,0,0
"112","A641","Intergenic",1895480830,0.889,73,0.64,3.85126553878152e-05
"113","A641","Not assigned",NA,NA,56,0.491,NA
"114","A654","Promoter",72627588,0.034,12,0.14,0.000165226470139694
"115","A654","UTR5",8484867,0.004,3,0.035,0.000353570657029745
"116","A654","Exon",40283128,0.019,2,0.023,4.96485774391701e-05
"117","A654","Intron",107881537,0.051,7,0.081,6.48859869321291e-05
"118","A654","UTR3",10917611,0.005,0,0,0
"119","A654","Intergenic",1895480830,0.889,62,0.721,3.27093785485554e-05
"120","A654","Not assigned",NA,NA,29,0.337,NA
"121","A659","Promoter",72627588,0.034,7,0.121,9.63821075814882e-05
"122","A659","UTR5",8484867,0.004,2,0.034,0.000235713771353163
"123","A659","Exon",40283128,0.019,3,0.052,7.44728661587551e-05
"124","A659","Intron",107881537,0.051,10,0.172,9.26942670458987e-05
"125","A659","UTR3",10917611,0.005,0,0,0
"126","A659","Intergenic",1895480830,0.889,36,0.621,1.89925423830322e-05
"127","A659","Not assigned",NA,NA,30,0.517,NA
"128","A661","Promoter",72627588,0.034,3,0.07,4.13066175349235e-05
"129","A661","UTR5",8484867,0.004,3,0.07,0.000353570657029745
"130","A661","Exon",40283128,0.019,1,0.023,2.4824288719585e-05
"131","A661","Intron",107881537,0.051,5,0.116,4.63471335229493e-05
"132","A661","UTR3",10917611,0.005,0,0,0
"133","A661","Intergenic",1895480830,0.889,31,0.721,1.63546892742777e-05
"134","A661","Not assigned",NA,NA,31,0.721,NA
"135","A679","Promoter",72627588,0.034,16,0.142,0.000220301960186259
"136","A679","UTR5",8484867,0.004,3,0.027,0.000353570657029745
"137","A679","Exon",40283128,0.019,0,0,0
"138","A679","Intron",107881537,0.051,17,0.15,0.000157580253978028
"139","A679","UTR3",10917611,0.005,0,0,0
"140","A679","Intergenic",1895480830,0.889,77,0.681,4.06229378748188e-05
"141","A679","Not assigned",NA,NA,60,0.531,NA
"142","A680","Promoter",72627588,0.034,26,0.222,0.00035799068530267
"143","A680","UTR5",8484867,0.004,2,0.017,0.000235713771353163
"144","A680","Exon",40283128,0.019,1,0.009,2.4824288719585e-05
"145","A680","Intron",107881537,0.051,7,0.06,6.48859869321291e-05
"146","A680","UTR3",10917611,0.005,0,0,0
"147","A680","Intergenic",1895480830,0.889,81,0.692,4.27332203618224e-05
"148","A680","Not assigned",NA,NA,45,0.385,NA
"149","A682","Promoter",72627588,0.034,32,0.32,0.000440603920372517
"150","A682","UTR5",8484867,0.004,2,0.02,0.000235713771353163
"151","A682","Exon",40283128,0.019,1,0.01,2.4824288719585e-05
"152","A682","Intron",107881537,0.051,8,0.08,7.41554136367189e-05
"153","A682","UTR3",10917611,0.005,0,0,0
"154","A682","Intergenic",1895480830,0.889,57,0.57,3.00715254398009e-05
"155","A682","Not assigned",NA,NA,53,0.53,NA
"156","Ab28A","Promoter",72627588,0.034,6,0.109,8.2613235069847e-05
"157","Ab28A","UTR5",8484867,0.004,0,0,0
"158","Ab28A","Exon",40283128,0.019,0,0,0
"159","Ab28A","Intron",107881537,0.051,2,0.036,1.85388534091797e-05
"160","Ab28A","UTR3",10917611,0.005,0,0,0
"161","Ab28A","Intergenic",1895480830,0.889,47,0.855,2.4795819222292e-05
"162","Ab28A","Not assigned",NA,NA,25,0.455,NA
"163","B10","Promoter",72627588,0.034,58,0.219,0.000798594605675188
"164","B10","UTR5",8484867,0.004,6,0.023,0.00070714131405949
"165","B10","Exon",40283128,0.019,5,0.019,0.000124121443597925
"166","B10","Intron",107881537,0.051,20,0.075,0.000185388534091797
"167","B10","UTR3",10917611,0.005,0,0,0
"168","B10","Intergenic",1895480830,0.889,176,0.664,9.28524294281573e-05
"169","B10","Not assigned",NA,NA,152,0.574,NA
"170","B103","Promoter",72627588,0.034,15,0.161,0.000206533087674618
"171","B103","UTR5",8484867,0.004,4,0.043,0.000471427542706326
"172","B103","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"173","B103","Intron",107881537,0.051,9,0.097,8.34248403413088e-05
"174","B103","UTR3",10917611,0.005,0,0,0
"175","B103","Intergenic",1895480830,0.889,64,0.688,3.37645197920572e-05
"176","B103","Not assigned",NA,NA,41,0.441,NA
"177","B104","Promoter",72627588,0.034,1,0.143,1.37688725116412e-05
"178","B104","UTR5",8484867,0.004,0,0,0
"179","B104","Exon",40283128,0.019,0,0,0
"180","B104","Intron",107881537,0.051,2,0.286,1.85388534091797e-05
"181","B104","UTR3",10917611,0.005,0,0,0
"182","B104","Intergenic",1895480830,0.889,4,0.571,2.11028248700357e-06
"183","B104","Not assigned",NA,NA,2,0.286,NA
"184","B105","Promoter",72627588,0.034,6,0.158,8.2613235069847e-05
"185","B105","UTR5",8484867,0.004,3,0.079,0.000353570657029745
"186","B105","Exon",40283128,0.019,1,0.026,2.4824288719585e-05
"187","B105","Intron",107881537,0.051,3,0.079,2.78082801137696e-05
"188","B105","UTR3",10917611,0.005,0,0,0
"189","B105","Intergenic",1895480830,0.889,25,0.658,1.31892655437723e-05
"190","B105","Not assigned",NA,NA,24,0.632,NA
"191","B109","Promoter",72627588,0.034,22,0.212,0.000302915195256106
"192","B109","UTR5",8484867,0.004,1,0.01,0.000117856885676582
"193","B109","Exon",40283128,0.019,1,0.01,2.4824288719585e-05
"194","B109","Intron",107881537,0.051,6,0.058,5.56165602275392e-05
"195","B109","UTR3",10917611,0.005,0,0,0
"196","B109","Intergenic",1895480830,0.889,74,0.712,3.90402260095661e-05
"197","B109","Not assigned",NA,NA,59,0.567,NA
"198","B14A","Promoter",72627588,0.034,18,0.257,0.000247839705209541
"199","B14A","UTR5",8484867,0.004,6,0.086,0.00070714131405949
"200","B14A","Exon",40283128,0.019,0,0,0
"201","B14A","Intron",107881537,0.051,4,0.057,3.70777068183595e-05
"202","B14A","UTR3",10917611,0.005,0,0,0
"203","B14A","Intergenic",1895480830,0.889,42,0.6,2.21579661135375e-05
"204","B14A","Not assigned",NA,NA,36,0.514,NA
"205","B164","Promoter",72627588,0.034,8,0.235,0.000110150980093129
"206","B164","UTR5",8484867,0.004,2,0.059,0.000235713771353163
"207","B164","Exon",40283128,0.019,0,0,0
"208","B164","Intron",107881537,0.051,2,0.059,1.85388534091797e-05
"209","B164","UTR3",10917611,0.005,0,0,0
"210","B164","Intergenic",1895480830,0.889,22,0.647,1.16065536785197e-05
"211","B164","Not assigned",NA,NA,26,0.765,NA
"212","B2","Promoter",72627588,0.034,10,0.222,0.000137688725116412
"213","B2","UTR5",8484867,0.004,2,0.044,0.000235713771353163
"214","B2","Exon",40283128,0.019,0,0,0
"215","B2","Intron",107881537,0.051,5,0.111,4.63471335229493e-05
"216","B2","UTR3",10917611,0.005,0,0,0
"217","B2","Intergenic",1895480830,0.889,28,0.622,1.4771977409025e-05
"218","B2","Not assigned",NA,NA,21,0.467,NA
"219","B37","Promoter",72627588,0.034,11,0.129,0.000151457597628053
"220","B37","UTR5",8484867,0.004,5,0.059,0.000589284428382908
"221","B37","Exon",40283128,0.019,1,0.012,2.4824288719585e-05
"222","B37","Intron",107881537,0.051,6,0.071,5.56165602275392e-05
"223","B37","UTR3",10917611,0.005,0,0,0
"224","B37","Intergenic",1895480830,0.889,62,0.729,3.27093785485554e-05
"225","B37","Not assigned",NA,NA,59,0.694,NA
"226","B46","Promoter",72627588,0.034,19,0.247,0.000261608577721182
"227","B46","UTR5",8484867,0.004,2,0.026,0.000235713771353163
"228","B46","Exon",40283128,0.019,1,0.013,2.4824288719585e-05
"229","B46","Intron",107881537,0.051,1,0.013,9.26942670458987e-06
"230","B46","UTR3",10917611,0.005,0,0,0
"231","B46","Intergenic",1895480830,0.889,54,0.701,2.84888135745483e-05
"232","B46","Not assigned",NA,NA,54,0.701,NA
"233","B52","Promoter",72627588,0.034,11,0.239,0.000151457597628053
"234","B52","UTR5",8484867,0.004,4,0.087,0.000471427542706326
"235","B52","Exon",40283128,0.019,1,0.022,2.4824288719585e-05
"236","B52","Intron",107881537,0.051,8,0.174,7.41554136367189e-05
"237","B52","UTR3",10917611,0.005,0,0,0
"238","B52","Intergenic",1895480830,0.889,22,0.478,1.16065536785197e-05
"239","B52","Not assigned",NA,NA,26,0.565,NA
"240","B57","Promoter",72627588,0.034,43,0.106,0.00059206151800057
"241","B57","UTR5",8484867,0.004,27,0.067,0.0031821359132677
"242","B57","Exon",40283128,0.019,1,0.002,2.4824288719585e-05
"243","B57","Intron",107881537,0.051,36,0.089,0.000333699361365235
"244","B57","UTR3",10917611,0.005,0,0,0
"245","B57","Intergenic",1895480830,0.889,298,0.736,0.000157216045281766
"246","B57","Not assigned",NA,NA,203,0.501,NA
"247","B64","Promoter",72627588,0.034,10,0.101,0.000137688725116412
"248","B64","UTR5",8484867,0.004,3,0.03,0.000353570657029745
"249","B64","Exon",40283128,0.019,1,0.01,2.4824288719585e-05
"250","B64","Intron",107881537,0.051,8,0.081,7.41554136367189e-05
"251","B64","UTR3",10917611,0.005,0,0,0
"252","B64","Intergenic",1895480830,0.889,77,0.778,4.06229378748188e-05
"253","B64","Not assigned",NA,NA,32,0.323,NA
"254","B68","Promoter",72627588,0.034,10,0.167,0.000137688725116412
"255","B68","UTR5",8484867,0.004,4,0.067,0.000471427542706326
"256","B68","Exon",40283128,0.019,0,0,0
"257","B68","Intron",107881537,0.051,5,0.083,4.63471335229493e-05
"258","B68","UTR3",10917611,0.005,0,0,0
"259","B68","Intergenic",1895480830,0.889,41,0.683,2.16303954917866e-05
"260","B68","Not assigned",NA,NA,41,0.683,NA
"261","B73","Promoter",72627588,0.034,21,0.159,0.000289146322744465
"262","B73","UTR5",8484867,0.004,1,0.008,0.000117856885676582
"263","B73","Exon",40283128,0.019,2,0.015,4.96485774391701e-05
"264","B73","Intron",107881537,0.051,15,0.114,0.000139041400568848
"265","B73","UTR3",10917611,0.005,0,0,0
"266","B73","Intergenic",1895480830,0.889,93,0.705,4.90640678228331e-05
"267","B73","Not assigned",NA,NA,90,0.682,NA
"268","B73Htrhm","Promoter",72627588,0.034,11,0.136,0.000151457597628053
"269","B73Htrhm","UTR5",8484867,0.004,1,0.012,0.000117856885676582
"270","B73Htrhm","Exon",40283128,0.019,2,0.025,4.96485774391701e-05
"271","B73Htrhm","Intron",107881537,0.051,11,0.136,0.000101963693750489
"272","B73Htrhm","UTR3",10917611,0.005,0,0,0
"273","B73Htrhm","Intergenic",1895480830,0.889,56,0.691,2.954395481805e-05
"274","B73Htrhm","Not assigned",NA,NA,51,0.63,NA
"275","B75","Promoter",72627588,0.034,6,0.125,8.2613235069847e-05
"276","B75","UTR5",8484867,0.004,2,0.042,0.000235713771353163
"277","B75","Exon",40283128,0.019,1,0.021,2.4824288719585e-05
"278","B75","Intron",107881537,0.051,3,0.062,2.78082801137696e-05
"279","B75","UTR3",10917611,0.005,0,0,0
"280","B75","Intergenic",1895480830,0.889,36,0.75,1.89925423830322e-05
"281","B75","Not assigned",NA,NA,34,0.708,NA
"282","B76","Promoter",72627588,0.034,19,0.196,0.000261608577721182
"283","B76","UTR5",8484867,0.004,5,0.052,0.000589284428382908
"284","B76","Exon",40283128,0.019,1,0.01,2.4824288719585e-05
"285","B76","Intron",107881537,0.051,14,0.144,0.000129771973864258
